r x c,|M|,1024,4096,10^5,10^8
(1000x1000),1,126.55,28.35,28.99,770.47
(1000x1000),10,293.13,293.48,289.42,1957.84
(10000x10000),1,3153.92,2881.46,2881.83,3520.09
(10000x10000),10,32375.39,28641.23,28518.84,29556.61
(10000x100000),1,35077.95,32470.95,30147.49,30071.74
