r x c,|M|,1024,4096,10^5,10^8
(1000x1000),1,2284.04,25.98,27.98,761.87
(1000x1000),10,296.44,291.71,288.75,1969.31
(10000x10000),1,3130.83,2870.95,2871.33,3539.11
(10000x10000),10,33258.41,30046.50,29400.50,30716.02
(10000x100000),1,36986.48,33233.46,29256.53,30034.49
